ID (begins by 1 for all students);First name;Name;Gender;Birthdate;Class;Personal email adress;Phone number;Adress;Password;Tutor's ID;Fees to pay
12360;Arnaud;Wilson;Male;07/12/1999;B3;arnaud.wilson@gmail.com;0 57 19 74 15;Tralee;FSpbn54D;23474;1500
12361;Alix;Miller;Female;07/01/1997;B5;alix.miller@gmail.com;0 23 74 74 15;Dundalk;xbuyv863;23474;5000
12362;Corentin;Davis;Male;14/02/1997;B5;corentin.davies@gmail.com;0 88 88 74 15;Dublin;chgv581sb;23474;5000
12363;Lily;Rodriguez;Female;09/01/1998;B4;lily.rodriguez@gmail.com;0 31 44 74 15;Newbridge;shf6989G;23465;0
12364;Mike;O'Kelly;Male;28/07/1999;A3;mike.okelly@gmail.com;0 55 44 74 15;Mullingar;hvqmeg113;23465;4200
12365;Lucy;O'Ryan;Female;04/01/1998;A4;lucy.oryan@gmail.com;0 39 47 32 15;Dublin;VS5fibuq5;23465;3150
12367;Juliet;O'Sullivan;Female;24/05/2000;A2;juliet.osullivan@gmail.com;0 54 32 14 15;Bray;sjhvfe97F;23465;5000
12368;Gabriel;O'Connor;Male;16/12/2000;B2;gabriel.oconnor@gmail.com;0 99 20 74 15;Cork;VCEK554s;23473;5000
12369;David;O'Neil;Male;31/08/1997;A5;david.oneil@gmail.com;0 01 23 74 15;Newbridge;xbvxuyvr6;23473;4000
12370;Julian;Tremblay;Male;10/01/1998;B4;julian.tremblay@gmail.com;0 56 04 74 15;Celbridge;bc576dhG;23473;2500
12371;Nathalie;Lee;Female;19/05/2001;B1;nathalie.smith@gmail.com;0 68 91 03 45;Drogheda;shb58;23473;0
12372;Victor;Roy;Male;06/10/2001;A1;victor.roy@gmail.com;0 35 04 06 15;Wexford;Jhvc ;23473;3000
12373;Chloe;Gelbero;Female;16/02/2001;A1;chloe.gelbero@gmail.com;0 24 26 74 15;Carlow;bhc2236;23466;2000
12374;Charles;Martin;Male;26/05/2000;B2;charles.martin@gmail.com;0 51 07 74 15;Naas;shgFRd87;23466;1400
12375;Eve;Lam;Female;16/03/2000;A2;eve.lam@gmail.com;0 84 30 74 15;Celbridge;h558edF;23466;3300
12376;Erwan;Gagnon;Male;21/01/1997;B5;erwan.gagnon@gmail.com;0 34 44 74 15;Dublin;nhfxiv889s;23466;2200
12377;Julie;Anderson;Female;01/06/1999;B3;julie.anderson@gmail.com;0 05 78 74 15;Howth;Dpeieb26*;23459;2500
12378;Charlie;White;Male;23/01/1999;A3;charlie.white@gmail.com;0 35 95 97 45;Dublin;sjgi4;23459;1500
12379;Justine;Morton;Female;16/11/2001;A1;justine.morton@gmail.com;0 35 98 24 03;Howth;Fhdffa9;23469;1900
12380;Lise;Harper;Female;15/06/1998;A4;lise.harper@gmail.com;0 35 04 79 65;Navan;mlopfJ1;23469;2000
12381;Lucas;Campbell;Male;02/10/2000;B2;lucas.cambell@gmail.com;0 31 34 87 05;Bray;hvsdgoi78;23469;3000
12382;Olivia;Lennox;Female;06/03/1997;A5;olivia.lennox@gmail.com;0 36 97 30 55;Bray;Gsiuapm55;23461;5000
12383;Mathias;Harrison;Male;01/04/2000;A2;mathias.harrison@gmail.com;0 13 10 47 75;Swords;nbebpmm4;23461;4000
12384;Morgane;Spencer;Female;16/12/2001;A1;morgane.spencer@gmail.com;0 30 46 97 35;Navan;hfuvq74;23461;0
12385;Maxime;Walker;Male;20/03/1999;A3;maxime.walker@gmail.com;0 15 77 11 65;Cork;knbjcqcehb8;23462;5000
12386;Pascal;Abbey;Male;16/06/1999;B3;pascal.abbey@gmail.com;0 49 75 31 02;Swords;556duh;23462;5000
12387;Rachel;Adams;Female;16/08/1998;A4;rachel.adams@gmail.com;0 04 78 13 46;Dublin;besjyf45;23462;500
12388;Olivier;Ash;Male;06/07/1997;B5;olivier.ash@gmail.com;0 44 30 79 68;Howth;cbhbuosbfl3;23469;5000
12389;Kyle;Aylen;Male;11/06/2001;A1;kyle.aylen@gmail.com;0 05 04 82 71;Galway;nqolzi4;23470;5000
12390;Jacob;Baker;Male;22/02/2001;B1;jacob.baker@gmail.com;0 04 57 12 36;Mullingar;GHHSl57;23470;150
12391;Sarah;Bannerman;Female;13/11/2000;A2;sarah.bannerman@gmail.com;0 01 49 73 54;Waterford;nevtyRT2;23470;5000
12392;Tristan;Bennet;Male;29/09/2000;B2;tristan.bennet@gmail.com;0 99 43 20 15;Carlow;jhfarp47Fd4;23477;5000
12393;Vanessa;Black;Female;21/11/1999;A3;vanessa.black@gmail.com;0 87 64 23 89;Newbridge;jhzypMD6;23472;1500
12394;Emily;Cooper;Female;07/09/1999;B3;emily.cooper@gmail.com;0 74 15 96 47;Naas;nqgtz88sz;23472;0
12395;Sophie;Dawson;Female;12/07/2000;A4;sophie.dawson@gmail.com;0 33 65 71 04;Dublin;jsbfn1HGd;23476;50
